127.0.0.1 - - [22/Oct/2024:15:47:51 +0900] "GET / HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:47:52 +0900] "GET / HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:47:52 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:47:56 +0900] "GET /member/login HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:47:58 +0900] "POST /member/login HTTP/1.1" 200 1089
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:47:59 +0900] "GET /member/sellerForm HTTP/1.1" 200 3933
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:47:59 +0900] "GET /resources/css/layout.css HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:47:59 +0900] "GET /resources/css/userSellerForm.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:47:59 +0900] "GET /upload/saleImg/2024/10/20/c015b9b5-443c-47d3-b76f-32c966dc3851_234.jpg HTTP/1.1" 200 94035
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:47:59 +0900] "GET /upload/saleImg/2024/10/20/69e47cdc-2068-4106-84cf-3d4557ee758c_%EC%9D%B4%EB%AF%B8%EC%A7%80_056.png HTTP/1.1" 200 247661
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:48:14 +0900] "GET /salePath/saleFormDetail?sno=6 HTTP/1.1" 200 10398
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:48:14 +0900] "GET /resources/css/saleSellerDetail.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:48:14 +0900] "GET /resources/js/saleSellerDetail.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:48:20 +0900] "GET /salePath/saleFormDetail?sno=6 HTTP/1.1" 200 10398
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:49:03 +0900] "GET /salePath/saleFormDetail?sno=6 HTTP/1.1" 200 10398
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:49:03 +0900] "GET /resources/css/saleSellerDetail.css HTTP/1.1" 200 5205
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:49:03 +0900] "GET /resources/css/layout.css HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:49:03 +0900] "GET /upload/saleImg/2024/10/20/c015b9b5-443c-47d3-b76f-32c966dc3851_234.jpg HTTP/1.1" 200 94035
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:49:03 +0900] "GET /resources/js/saleSellerDetail.js HTTP/1.1" 200 5462
